"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","dep_delay_comment","arr_delay_comment","season","status"
2013,1,1,544,545,-1,1004,1022,-18,"4",725,"N804JB","2","13",183,1576,5,45,2013-01-01 05:00:00,"2","2","4","1"
2013,1,1,554,600,-6,812,837,-25,"5",461,"N668DN","3","5",116,762,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,554,558,-4,740,728,12,"12",1696,"N39463","1","69",150,719,5,58,2013-01-01 05:00:00,"2","2","4","1"
2013,1,1,555,600,-5,913,854,19,"4",507,"N516JB","1","36",158,1065,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,557,600,-3,709,723,-14,"6",5708,"N829AS","3","43",53,229,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,557,600,-3,838,846,-8,"4",79,"N593JB","2","54",140,944,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,558,600,-2,753,745,8,"2",301,"N3ALAA","3","69",138,733,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,558,600,-2,849,851,-2,"4",49,"N793JB","2","71",149,1028,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,558,600,-2,853,856,-3,"4",71,"N657JB","2","100",158,1005,6,0,2013-01-01 06:00:00,"2","2","4","1"
2013,1,1,558,600,-2,924,917,7,"12",194,"N29129","2","50",345,2475,6,0,2013-01-01 06:00:00,"2","2","4","1"
